
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 345, 2427, 354, 72, 0, 21, 180, 15, 99, 6, 768, 174, 3, 0, 0, 4464, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 18, 171, 51, 0, 0, 3, 231, 0, 3, 0, 27, 3, 0, 0, 0, 507, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 60, 249, 51, 63, 0, 3, 12, 0, 9, 0, 282, 9, 0, 0, 0, 738, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 423, 2847, 456, 135, 0, 27, 423, 15, 111, 6, 1077, 186, 3, 0, 0, 5709, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 279, 1827, 252, 69, 0, 15, 126, 6, 87, 12, 720, 279, 0, 0, 0, 3672, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 3, 273, 60, 0, 0, 0, 174, 3, 6, 0, 30, 0, 0, 0, 0, 549, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 240, 324, 81, 3, 0, 6, 27, 3, 117, 0, 252, 3, 3, 0, 0, 1059, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 522, 2424, 393, 72, 0, 21, 327, 12, 210, 12, 1002, 282, 3, 0, 0, 5280, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 348, 84, 0, 3, 0, 9, 3, 0, 3, 0, 0, 3, 0, 0, 0, 453, 
Arts, 231, 1389, 411, 18, 0, 15, 69, 18, 114, 3, 138, 336, 0, 0, 0, 2742, 
Education, 0, 0, 273, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 288, 
~Engineering, 0, 12, 0, 15, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 39, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 21, 150, 48, 0, 0, 3, 84, 0, 0, 0, 6, 21, 0, 0, 0, 333, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 207, 207, 30, 30, 0, 0, 9, 0, 9, 3, 153, 3, 0, 0, 0, 651, 
