
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 351.0, 2547.0, 369.0, 90.0, 0, 21.0, 165.0, 57.0, 102.0, 6.0, 828.0, 198.0, 12.0, 0, 0, 4746.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 6.0, 51.0, 75.0, 0, 0, 0, 117.0, 0, 0, 0, 18.0, 3.0, 3.0, 0, 0, 273.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 132.0, 258.0, 18.0, 99.0, 0, 3.0, 12.0, 0, 69.0, 0, 360.0, 0, 0, 0, 0, 951.0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 489.0, 2856.0, 462.0, 189.0, 0, 24.0, 294.0, 57.0, 171.0, 6.0, 1206.0, 201.0, 15.0, 0, 0, 5970.0, 

Luther: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Arts, 516.0, 1830.0, 273.0, 213.0, 0, 27.0, 195.0, 38.0, 156.0, 3.0, 753.0, 288.0, 6.0, 0, 0, 4298.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 0, 75.0, 24.0, 3.0, 0, 3.0, 126.0, 3.0, 3.0, 0, 30.0, 0, 0, 0, 0, 267.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 192.0, 303.0, 153.0, 261.0, 0, 6.0, 3.0, 0, 60.0, 0, 453.0, 3.0, 6.0, 0, 0, 1440.0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 708.0, 2208.0, 450.0, 477.0, 0, 36.0, 324.0, 41.0, 219.0, 3.0, 1236.0, 291.0, 12.0, 0, 0, 6005.0, 

~ SIFC: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 279.0, 84.0, 0, 3.0, 0, 18.0, 12.0, 0, 0, 0, 6.0, 3.0, 12.0, 0, 0, 417.0, 
Arts, 135.0, 1110.0, 687.0, 36.0, 0, 39.0, 81.0, 30.0, 39.0, 3.0, 126.0, 456.0, 3.0, 0, 0, 2745.0, 
